	Bee1	Bee2	Bee3	Bee4	Bee5	Bee6	Bee7	Bee8	T1D11	T1D12	T1D13	T1D14	T1D15	T1D16	T1D31	T1D32	T1D33	T1D34	T1D35	T1D36	T1D51	T1D52	T1D53	T1D54	T1D55	T1D56	T2D11	T2D12	T2D13	T2D14	T2D15	T2D16	T2D31	T2D32	T2D33	T2D34	T2D35	T2D36	T2D51	T2D52	T2D53	T2D54	T2D55	T2D56	T3D11	T3D12	T3D13	T3D14	T3D15	T3D16	T3D31	T3D32	T3D33	T3D34	T3D35	T3D36	T3D51	T3D52	T3D53	T3D54	T3D55	T3D56
2685d240ab24c795c4a0b5368c86d406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2669.0	0.0	6.0	0.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0
aee9f354c80ca7baa872c3da2fe462c2	0.0	120.0	0.0	34.0	1852.0	0.0	395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	63.0	15.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65d43491988bfe557da4d86a5ba25dae	27.0	0.0	14.0	28.0	3.0	0.0	39.0	22.0	133.0	7.0	191.0	37.0	0.0	7.0	11.0	83.0	23.0	48.0	91.0	159.0	87.0	23.0	36.0	28.0	33.0	26.0	26.0	14.0	6.0	0.0	8.0	16.0	352.0	24.0	233.0	18.0	0.0	23.0	94.0	64.0	40.0	74.0	14.0	17.0	11.0	9.0	6.0	84.0	10.0	0.0	8.0	0.0	88.0	0.0	0.0	0.0	13.0	52.0	88.0	8.0	25.0	75.0
7ff346973a282aa55de296afdb5d74af	0.0	0.0	15.0	0.0	0.0	0.0	20.0	40.0	271.0	9.0	176.0	366.0	4.0	12.0	26.0	66.0	14.0	12.0	507.0	361.0	0.0	27.0	0.0	0.0	0.0	0.0	135.0	12.0	0.0	0.0	0.0	0.0	105.0	70.0	23.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	0.0	0.0
e1b2b6ae4af6686429c21926cc0314a0	13.0	36.0	25.0	48.0	20.0	0.0	28.0	51.0	0.0	0.0	78.0	0.0	0.0	0.0	502.0	375.0	239.0	397.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	57.0	68.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6c5f4f9666d82b1bedf94e99acfe6741	8.0	10.0	0.0	11.0	0.0	0.0	13.0	0.0	258.0	0.0	453.0	548.0	0.0	0.0	18.0	43.0	0.0	48.0	169.0	209.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
942ec60e75a4f9183b9b69cbf8960379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	1908.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
389a312d026a6f1328e864690a59f83d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	1631.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	12.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	16.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c0f775fff77049501c4f8b4f5460097c	14.0	31.0	21.0	33.0	8.0	0.0	45.0	50.0	0.0	31.0	0.0	31.0	0.0	90.0	0.0	0.0	0.0	0.0	20.0	0.0	23.0	90.0	59.0	739.0	43.0	11.0	0.0	16.0	0.0	0.0	58.0	149.0	28.0	34.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	4.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
bcc6da5f621cbdfc1f0c9becbac6cdff	14.0	17.0	0.0	13.0	0.0	0.0	20.0	17.0	339.0	0.0	153.0	158.0	0.0	0.0	10.0	78.0	0.0	73.0	328.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	142.0	12.0	79.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	46.0
